type,date,business,cost,category,year,monthno
Sale,10/22/2017,Amazon Video On Demand,2.11,ShoppingOrEntertainment,2017,10
Sale,10/23/2017,Amazon Video On Demand,8.52,ShoppingOrEntertainment,2017,10
Sale,10/23/2017,GULF OIL 92031193,2.1,GasOrCar,2017,10
Sale,10/23/2017,SUNOCO 0158551200,18,GasOrCar,2017,10
Sale,10/24/2017,WPI FOOD COURT11031614,1.99,Restaurants,2017,10
Sale,10/25/2017,PRICE CHOPPER #148,48.62,GroceryStore,2017,10
Sale,10/25/2017,IN *HIGHLAND LIQUORS OF W,6,Restaurants,2017,10
Sale,10/25/2017,BEAN COUNTER COFFEE BAR &amp;,15.46,Coffee,2017,10
Sale,10/26/2017,COLLEGE TRANSCRIPT,3.25,Other,2017,10
Sale,10/26/2017,PARCHMENT - UNIV DOCS,6.5,Other,2017,10
Sale,10/26/2017,WPI FOOD COURT11031614,1.89,Restaurants,2017,10
Sale,10/26/2017,DUNKIN #342612 Q35,2.77,Coffee,2017,10
Sale,10/26/2017,SQ *WOOBERRY - WORCESTER,5.54,Restaurants,2017,10
Sale,10/26/2017,DUNKIN #342612 Q35,5.33,Coffee,2017,10
Sale,10/27/2017,DUNKIN #342612 Q35,2.77,Coffee,2017,10
Sale,10/27/2017,SQ *WOOBERRY - WORCESTER,5.91,Restaurants,2017,10
Sale,10/27/2017,DUNKIN #342612 Q35,2.77,Coffee,2017,10
Sale,10/28/2017,TRADER JOE'S #508  QPS,18.21,GroceryStore,2017,10
Sale,10/28/2017,PRICE CHOPPER #148,4.99,GroceryStore,2017,10
Sale,10/28/2017,REDBOX *DVD RENTAL,2.13,ShoppingOrEntertainment,2017,10
Sale,10/28/2017,TOTAL WINE AND MORE 1703,18.94,Restaurants,2017,10
Sale,10/29/2017,TRADER JOE'S #508  QPS,11.77,GroceryStore,2017,10
Sale,10/30/2017,PPL*BEACHBODY ONDEMAND,41.2,Exercise,2017,10
Sale,10/30/2017,GULF OIL 92031193,2.85,GasOrCar,2017,10
Sale,10/30/2017,WALGREENS #7270,14.99,GroceryStore,2017,10
Sale,10/30/2017,DUNKIN #354619 Q35,3.07,Coffee,2017,10
Sale,10/30/2017,DUNKIN #353287 Q35,2.77,Coffee,2017,10
Sale,10/31/2017,DUNKIN #342612 Q35,8.46,Coffee,2017,11
Sale,10/31/2017,DUNKIN #342612 Q35,5.33,Coffee,2017,11
Sale,10/31/2017,STAPLES       00112185,60,ShoppingOrEntertainment,2017,11
Sale,11/1/2017,MONGODBCLOUD CS502,4.42,Other,2017,11
Sale,11/1/2017,Amazon Video On Demand,2.11,ShoppingOrEntertainment,2017,11
Sale,11/1/2017,Amazon Video On Demand,2.11,ShoppingOrEntertainment,2017,11
Payment,11/1/2017,Payment Thank You - Web,-1536.95,PAYMENT,2017,11
Sale,11/1/2017,Amazon Video On Demand,2.11,ShoppingOrEntertainment,2017,11
Sale,11/2/2017,DUNKIN #342612 Q35,2.56,Coffee,2017,11
Sale,11/2/2017,SQ *WOOBERRY - WORCESTER,4.86,Restaurants,2017,11
Sale,11/2/2017,Amazon Video On Demand,10.63,ShoppingOrEntertainment,2017,11
Sale,11/2/2017,Amazon Video On Demand,2.11,ShoppingOrEntertainment,2017,11
Sale,11/3/2017,GULF OIL 92046589,2.55,GasOrCar,2017,11
Sale,11/3/2017,STOP &amp; SHOP 0079,43.75,GasOrCar,2017,11
Sale,11/4/2017,UBER   *TRIP RPJVO,6.4,GasOrCar,2017,11
Sale,11/4/2017,TARGET        00019653,24.62,ShoppingOrEntertainment,2017,11
Sale,11/4/2017,DUNKIN #353287 Q35,2.77,Coffee,2017,11
Sale,11/5/2017,TARGET        00013482,24.99,ShoppingOrEntertainment,2017,11
Sale,11/5/2017,HOT POWER YOGA CENTER,90,Exercise,2017,11
Sale,11/5/2017,GULF OIL 92046589,5.3,GasOrCar,2017,11
Sale,11/5/2017,ED0007 VALVOLINE INSTANT,49.8,GasOrCar,2017,11
Sale,11/6/2017,TIRE WAREHSE 900009894,59.9,GasOrCar,2017,11
Sale,11/6/2017,DUNKIN #307890 Q35,5.83,Coffee,2017,11
Sale,11/6/2017,DUNKIN #304874 Q35,2.92,Coffee,2017,11
Return,11/8/2017,MARRIOTT BOSTON NEWTON,-211.11,Other,2017,11
Sale,11/8/2017,WORCESTER POLYTECHNIC IN,25,Other,2017,11
Sale,11/9/2017,GULF OIL 92046589,3.81,GasOrCar,2017,11
Sale,11/9/2017,CHARTER COMM,73.17,UtilitiesOrInsurance,2017,11
Sale,11/10/2017,BEAN COUNTER COFFEE BAR &amp;,5.5,Coffee,2017,11
Sale,11/10/2017,SHELL OIL 57544923204,20.17,GasOrCar,2017,11
Sale,11/10/2017,TARGET        00013482,5.95,ShoppingOrEntertainment,2017,11
Sale,11/10/2017,Amazon Video On Demand,2.11,ShoppingOrEntertainment,2017,11
Sale,11/10/2017,TARGET        00013482,67.84,ShoppingOrEntertainment,2017,11
Sale,11/10/2017,THAI TIME,12.7,Restaurants,2017,11
Sale,11/10/2017,GULF OIL 92046589,5.14,GasOrCar,2017,11
Sale,11/10/2017,READY MED,10,HealthOrDoctors,2017,11
Sale,11/11/2017,APL* ITUNES.COM/BILL,0.99,ShoppingOrEntertainment,2017,11
Sale,11/11/2017,Amazon Video On Demand,14.85,ShoppingOrEntertainment,2017,11
Sale,11/11/2017,Amazon Video On Demand,2.11,ShoppingOrEntertainment,2017,11
Sale,11/11/2017,#07470 SHAW'S,63.03,GroceryStore,2017,11
Sale,11/11/2017,Amazon Video On Demand,5.29,ShoppingOrEntertainment,2017,11
Sale,11/12/2017,TARGET        00021204,25,ShoppingOrEntertainment,2017,11
Return,11/12/2017,TARGET        00021204,-17.99,ShoppingOrEntertainment,2017,11
Sale,11/12/2017,MIRANDA'S ON MAIN - STORE,78,ShoppingOrEntertainment,2017,11
Sale,11/12/2017,ULTA #1013,20,Exercise,2017,11
Sale,11/12/2017,GULF OIL 91801695,3.81,GasOrCar,2017,11
Sale,11/13/2017,DUNKIN #304874 Q35,2.7,Coffee,2017,11
Sale,11/13/2017,GULF OIL 92031193,5.37,GasOrCar,2017,11
Sale,11/13/2017,DUNKIN #304874 Q35,2.92,Coffee,2017,11
Sale,11/14/2017,SAFECO INSURANCE CO,57.88,UtilitiesOrInsurance,2017,11
Sale,11/14/2017,TST* WORKS 4445024093153,8.79,Restaurants,2017,11
Sale,11/15/2017,DUNKIN #342612 Q35,3.83,Coffee,2017,11
Sale,11/16/2017,DUNKIN #342612 Q35,3.83,Coffee,2017,11
Sale,11/17/2017,DUNKIN #353287 Q35,2.77,Coffee,2017,11
Sale,11/17/2017,#07624 SHAW'S,90.4,GroceryStore,2017,11
Sale,11/17/2017,STARBUCKS STORE 07502,6.48,Coffee,2017,11
Sale,11/18/2017,WAXING THE CITY,10.5,Exercise,2017,11
Sale,11/18/2017,TARGET        00013086,20.9,ShoppingOrEntertainment,2017,11
Sale,11/18/2017,THE PAPER STORE 09,8.48,ShoppingOrEntertainment,2017,11
Sale,11/18/2017,DUNKIN #336044 Q35,3.9,GasOrCar,2017,11
Sale,11/18/2017,TST* DIESEL CAFE,16.77,Coffee,2017,11
Sale,11/19/2017,DUNKIN #353287 Q35,4.89,Coffee,2017,11
Sale,11/19/2017,AMAZON MKTPLACE PMTS,86.98,ShoppingOrEntertainment,2017,11
Sale,11/21/2017,DUNKIN #342612 Q35,2.77,Coffee,2017,11
Sale,11/21/2017,SC* THE DAILY BEAST SH,20,Other,2017,11
Sale,11/21/2017,GULF OIL 92031193,1.69,GasOrCar,2017,11
Sale,11/21/2017,DUNKIN #342612 Q35,2.77,Coffee,2017,11
Sale,11/21/2017,E-ZPass MA,10.9,GasOrCar,2017,11
Sale,11/21/2017,EB HAUNTED SPEAKEASY,46.32,ShoppingOrEntertainment,2017,11
Sale,11/21/2017,CORE STUDIO,10,Exercise,2017,11
Sale,11/21/2017,DUNKIN #342612 Q35,2.77,Coffee,2017,11
Sale,11/22/2017,CRAFT BEER CELLAR WATERB,30.08,Restaurants,2017,11
Sale,11/22/2017,DUNKIN #304874 Q35,3.03,Coffee,2017,11
Sale,11/22/2017,DICK MAZZAS GENERAL STORE,15.97,GroceryStore,2017,11
Sale,11/22/2017,EXPERIENCED GOODS THRI,24.38,ShoppingOrEntertainment,2017,11
Sale,11/22/2017,Amazon.com,23.85,Other,2017,11
Return,11/22/2017,AMAZON MKTPLACE PMTS,-43.99,ShoppingOrEntertainment,2017,11
Sale,11/22/2017,CRAFT BEER CELLAR WATERB,32.01,Restaurants,2017,11
Sale,11/23/2017,EXXONMOBIL    97508378,25.17,GasOrCar,2017,11
Sale,11/23/2017,STARBUCKS STORE 03473,5.78,Coffee,2017,11
Sale,11/23/2017,GULF OIL 90603456,3.08,GasOrCar,2017,11
Sale,11/23/2017,EXXONMOBIL    97508378,6.72,GasOrCar,2017,11
Sale,11/23/2017,EXXONMOBIL    97508378,18.69,GasOrCar,2017,11
Sale,11/23/2017,EXXONMOBIL    97547228,6.83,GasOrCar,2017,11
Sale,11/24/2017,SQ *WOOBERRY - WORCESTER,6.17,Restaurants,2017,11
Sale,11/24/2017,DUNKIN #353287 Q35,2.88,Coffee,2017,11
Sale,11/25/2017,SHOWCASE CINEMAS,24.25,ShoppingOrEntertainment,2017,11
Sale,11/25/2017,IKEA STOUGHTON,109.38,ShoppingOrEntertainment,2017,11
Sale,11/26/2017,THAI TIME,12.7,Restaurants,2017,11
Sale,11/28/2017,Amazon Digital Svcs,15.89,ShoppingOrEntertainment,2017,11
Sale,11/29/2017,Amazon Video On Demand,3.17,ShoppingOrEntertainment,2017,11
Sale,12/1/2017,DUNKIN #342612 Q35,2.88,Coffee,2017,12
Sale,12/1/2017,SQ *INHOUSE COFFEE,3.09,Coffee,2017,12
Sale,12/1/2017,Amazon Video On Demand,2.11,ShoppingOrEntertainment,2017,12
Sale,12/1/2017,AMAZON MKTPLACE PMTS,227.95,ShoppingOrEntertainment,2017,12
Sale,12/2/2017,#07624 SHAW'S,70.88,GroceryStore,2017,12
Sale,12/2/2017,MONGODBCLOUD CS502,13.12,Other,2017,12
Sale,12/2/2017,AMAZON MKTPLACE PMTS,13.8,ShoppingOrEntertainment,2017,12
Payment,12/2/2017,Payment Thank You - Web,-1610.4,PAYMENT,2017,12
Sale,12/4/2017,DUNKIN #353287 Q35,2.88,Coffee,2017,12
Sale,12/4/2017,BMH - PATIENT FIN SRV/CAS,21.37,HealthOrDoctors,2017,12
Sale,12/5/2017,HOT POWER YOGA CENTER,90,Exercise,2017,12
Sale,12/9/2017,AMAZON MKTPLACE PMTS,19.88,ShoppingOrEntertainment,2017,12
Sale,12/9/2017,Amazon Video On Demand,5.29,ShoppingOrEntertainment,2017,12
Sale,12/9/2017,AMAZON MKTPLACE PMTS,43.99,ShoppingOrEntertainment,2017,12
Sale,12/10/2017,CHARTER COMM,73.18,UtilitiesOrInsurance,2017,12
Sale,12/11/2017,APL* ITUNES.COM/BILL,0.99,ShoppingOrEntertainment,2017,12
Return,12/12/2017,AMAZON MKTPLACE PMTS,-193.96,ShoppingOrEntertainment,2017,12
Sale,12/14/2017,SAFECO INSURANCE CO,57.88,UtilitiesOrInsurance,2017,12
Sale,12/16/2017,UBER TECHNOLOGIES INC,11.55,GasOrCar,2017,12
Sale,12/16/2017,SNAPFISH US,37.02,ShoppingOrEntertainment,2017,12
Return,12/16/2017,AMAZON MKTPLACE PMTS,-6.82,ShoppingOrEntertainment,2017,12
Return,12/19/2017,AMAZON MKTPLACE PMTS,-9.89,ShoppingOrEntertainment,2017,12
Return,12/19/2017,AMAZON MKTPLACE PMTS,-43.99,ShoppingOrEntertainment,2017,12
Return,12/19/2017,AMAZON MKTPLACE PMTS,-42.99,ShoppingOrEntertainment,2017,12
Sale,12/20/2017,Amazon Digital Svcs,9.53,ShoppingOrEntertainment,2017,12
Sale,12/21/2017,WALGREENS #7270,9.53,GroceryStore,2017,12
Sale,12/22/2017,WEGMANS NORTHBOROUGH #58,69.99,GroceryStore,2017,12
Sale,12/22/2017,TM *WORCESTER RAILERS,55.05,ShoppingOrEntertainment,2017,12
Sale,12/23/2017,UBER   *TRIP 2NIOP,6.4,GasOrCar,2017,12
Sale,12/23/2017,TARGET        00013482,2.66,ShoppingOrEntertainment,2017,12
Sale,12/24/2017,DUNKIN #353287 Q35,2.88,Coffee,2017,12
Sale,12/27/2017,THE FLEX COMPANY,45,Exercise,2017,12
Sale,12/28/2017,MARSHALLS #838,53.98,ShoppingOrEntertainment,2017,12
Return,12/30/2017,MARSHALLS #0007,-49.99,ShoppingOrEntertainment,2017,12
Sale,12/30/2017,MARSHALLS #0007,45.97,ShoppingOrEntertainment,2017,12
Sale,12/30/2017,Amazon Digital Svcs,9.53,ShoppingOrEntertainment,2017,12
Sale,12/31/2017,PRICE CHOPPER #148,28.06,GroceryStore,2018,1
Sale,12/31/2017,LOLLI AND POPS NAT,11.67,ShoppingOrEntertainment,2018,1
Sale,10/16/2017,MATRIX HEALTH SYSTEMS BR,117.3,HealthOrDoctors,2017,10
Sale,10/26/2017,WPI FOOD COURT11031614,2.66,Restaurants,2017,10
Sale,10/27/2017,WALGREENS #3151,20,HealthOrDoctors,2017,10
Payment,11/1/2017,Payment Thank You - Web,-25,PAYMENT,2017,11
Return,11/1/2017,UND-EXT LEARNING-MKP,-434.13,EXCLUDE,2017,11
Sale,11/3/2017,GULF OIL 92046589,20.09,GasOrCar,2017,11
Sale,11/4/2017,MAI TAI,54.32,Restaurants,2017,11
Sale,11/6/2017,#07624 SHAW'S,22.24,GroceryStore,2017,11
Sale,11/17/2017,DUNKIN #336018 Q35,3.2,Coffee,2017,11
Sale,11/17/2017,CITY OF SOMERVILLE PARKIN,2,GasOrCar,2017,11
Sale,11/17/2017,RITE AID STORE - 10162,2.49,HealthOrDoctors,2017,11
Sale,11/17/2017,EXXONMOBIL    97444756,3.24,GasOrCar,2017,11
Sale,11/17/2017,CITY OF SOMERVILLE PARKIN,1.75,GasOrCar,2017,11
Sale,11/21/2017,GULF OIL 92031193,20.38,GasOrCar,2017,11
Sale,11/30/2017,DUNKIN #342612 Q35,2.88,Coffee,2017,12
Sale,12/3/2017,DUNKIN #342612 Q35,2.66,Coffee,2017,12
Sale,12/3/2017,WALGREENS #3151,19.57,HealthOrDoctors,2017,12
Sale,12/4/2017,SQ *MOCHA JOES CAFE,5.06,Coffee,2017,12
Sale,12/4/2017,GULF OIL 92031193,21.24,GasOrCar,2017,12
Sale,12/4/2017,GULF OIL 92031193,2.1,GasOrCar,2017,12
Sale,12/5/2017,DUNKIN #342612 Q35,2.88,Coffee,2017,12
Sale,12/5/2017,DUNKIN #342612 Q35,2.88,Coffee,2017,12
Sale,12/6/2017,DUNKIN #353287 Q35,2.88,Coffee,2017,12
Sale,12/7/2017,SOLE PROPRIETOR,12.7,Restaurants,2017,12
Sale,12/7/2017,DUNKIN #342612 Q35,2.88,Coffee,2017,12
Sale,12/7/2017,DUNKIN #353287 Q35,2.88,Coffee,2017,12
Sale,12/7/2017,WPI FOOD COURT11031614,6.97,Restaurants,2017,12
Sale,12/8/2017,BATH AND BODY WORKS 3676,8.5,ShoppingOrEntertainment,2017,12
Sale,12/8/2017,TST* NU CAFE,20.44,Restaurants,2017,12
Sale,12/8/2017,CVS/PHARMACY #01179,6.88,HealthOrDoctors,2017,12
Sale,12/8/2017,CVS/PHARMACY #01179,1.8,HealthOrDoctors,2017,12
Sale,12/8/2017,DUNKIN #339698 Q35,3.11,Coffee,2017,12
Sale,12/8/2017,THE PAPER STORE 76,34.98,ShoppingOrEntertainment,2017,12
Sale,12/8/2017,FRANCESCA'S B264,122.8,ShoppingOrEntertainment,2017,12
Sale,12/8/2017,STARBUCKS STORE 07862,16.54,Coffee,2017,12
Sale,12/9/2017,#07624 SHAW'S,113.91,GroceryStore,2017,12
Sale,12/9/2017,TARGET        00013482,57.77,ShoppingOrEntertainment,2017,12
Sale,12/10/2017,STAPLES       00112722,3.17,Other,2017,12
Sale,12/10/2017,CUMBERLAND FARMS 6754,2.1,GasOrCar,2017,12
Sale,12/10/2017,ONE STOP COUNTRY PET SUPP,8.47,ShoppingOrEntertainment,2017,12
Sale,12/11/2017,DUNKIN #304874 Q35,2.81,Coffee,2017,12
Sale,12/12/2017,BRATTLEBORO FOOD COOP,22.99,GroceryStore,2017,12
Sale,12/12/2017,SHELL OIL 57546079401,17.85,GasOrCar,2017,12
Sale,12/12/2017,J&amp;S SHEAR DESIGNS,17,Exercise,2017,12
Sale,12/12/2017,PPL*TEAM BEACHBODY,153.01,GroceryStore,2017,12
Sale,12/12/2017,DUNKIN #304874 Q35,6.05,Coffee,2017,12
Sale,12/12/2017,BRATTLEBORO PHARMACY,1.47,UtilitiesOrInsurance,2017,12
Sale,12/13/2017,PRICE CHOPPER #148,12.95,GroceryStore,2017,12
Sale,12/14/2017,DUNKIN #342612 Q35,2.66,Coffee,2017,12
